Model,Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),F1 (openapi),F1 (typedef),F1 (validator)
XGBoost,0.9928571428571429,0.6653992395437262,0.9892992938620314,0.6641414141414141,0.6666666666666666,1.0,0.0,0.9961977186311787
Logistic Regression,0.8714285714285714,0.49941927990708485,0.8999004479840718,0.463768115942029,0.6234096692111959,0.5714285714285715,0.0,0.926829268292683
Neural Network,0.7428571428571429,0.3852769177846578,0.8058970956803775,0.39191241109246383,0.5776081424936387,0.3137254901960785,0.0,0.8421052631578948
